ProjectID,BuildingID,ReportingConstructionType,Borough,Block,Lot,BIN,HouseNumber,StreetName,CountedRentalUnits,CountedHomeownershipUnits,AllCountedUnits,TotalBuildingUnits,BaseSquareFootage,Stories,BBL,Community Board,Council District,Census Tract,NTA,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Postcode
49270,947270,New Construction,1,779,7,1014279,257,WEST 29 STREET,0,0,0,37,2469,14,1007790007,5,3,95,MN17,40.748521,-73.994464,40.748521,-73.994464,10001
65360,30579,Preservation,1,793,32,1078649,105,WEST 17 STREET,18,0,18,18,8820,4,1007930032,4,3,81,MN13,40.739463,-73.995886,40.739463,-73.995886,10011
58889,12608,Preservation,1,879,27,1018044,143,EAST 23 STREET,327,0,327,327,0,22,1008790027,6,2,68,MN21,40.739358,-73.98436,40.739358,-73.98436,10010
52349,24188,Preservation,1,880,73,1018083,54,LEXINGTON AVENUE,0,0,0,50,20948,7,1008800073,5,2,68,MN21,40.740604,-73.98396,40.740604,-73.98396,10010
61701,24188,Preservation,1,880,73,1018083,54,LEXINGTON AVENUE,50,0,50,50,23849,7,1008800073,5,2,68,MN21,40.740604,-73.98396,40.740604,-73.98396,10010
49588,949027,New Construction,1,933,7501,1084666,335,EAST 27 STREET,23,0,23,55,3560,9,1009337501,6,2,66,MN20,40.739566,-73.977039,40.739566,-73.977039,10016
64796,32960,Preservation,1,996,14,1022613,127,WEST 43 STREET,291,0,291,291,13625,13,1009960014,5,4,119,MN17,40.755873,-73.984454,40.755873,-73.984454,10036
48686,32921,Preservation,1,1033,6,1024937,351,WEST 42 STREET,0,0,0,308,8000,21,1010330006,4,3,121,MN15,40.757848,-73.991229,40.757848,-73.991229,10036
49276,944544,New Construction,1,1037,7501,1090496,733,8 AVENUE,0,0,0,12,2247,5,1010377501,4,3,127,MN15,40.759887,-73.987868,40.759887,-73.987868,10036
48638,33874,Preservation,1,1041,47,1025181,330,WEST 51 STREET,53,0,53,53,2355,5,1010410047,4,3,133,MN15,40.763408,-73.986846,40.763408,-73.986846,10019
48638,33876,Preservation,1,1041,49,1025182,332,WEST 51 STREET,56,0,56,56,2355,5,1010410047,4,3,133,MN15,40.763435,-73.986907,40.763435,-73.986907,10019
67504,33639,Preservation,1,1057,141,1079207,414,WEST 48 STREET,54,0,54,54,20000,5,1010570141,4,3,127,MN15,40.762527,-73.990578,40.762527,-73.990578,10036
61877,5169,Preservation,1,1060,61,1026704,748,10 AVENUE,0,3,3,3,0,4,1010600061,4,3,133,MN15,40.765212,-73.99139,40.765212,-73.99139,10019
61877,33920,Preservation,1,1060,160,1026709,464,WEST 51 STREET,0,8,8,8,0,5,1010600160,4,3,133,MN15,40.764833,-73.990224,40.764833,-73.990224,10019
50329,948333,New Construction,1,1064,44,1026799,424,WEST 55 STREET,0,0,0,17,2633,7,1010640044,4,3,139,MN15,40.766998,-73.987592,40.766998,-73.987592,10019
44324,927213,New Construction,1,1081,7501,1090143,525,WEST 52 STREET,103,0,103,103,14600,7,1010817501,4,3,135,MN15,40.766507,-73.992217,40.766507,-73.992217,10019
48038,35779,Preservation,1,1211,7,1031954,165,WEST 80 STREET,29,0,29,29,0,5,1012110007,7,6,165,MN12,40.783556,-73.977157,40.783556,-73.977157,10024
63808,37054,Preservation,1,1224,58,1032545,176,WEST 94 STREET,120,0,120,120,8015,12,1012240058,7,6,177,MN12,40.792483,-73.970689,40.792483,-73.970689,10025
68433,6012,Preservation,1,1225,1,1032551,711,AMSTERDAM AVENUE,194,0,194,194,11981,27,1012250001,7,6,181,MN12,40.793032,-73.971097,40.793032,-73.971097,10025
62159,36261,Preservation,1,1246,49,1033867,336,WEST 85 STREET,0,0,0,125,5354,9,1012460049,7,6,171,MN12,40.788623,-73.97938,40.788623,-73.97938,10024
63154,975397,New Construction,1,1373,9,1000000,460,MAIN STREET,341,0,341,341,1,21,1013730009,8,5,23801,MN31,40.759347,-73.951807,40.759347,-73.951807,10044
49418,1101,Preservation,1,1558,50,1050342,1850,SECOND AVENUE,0,0,0,49,62500,26,1015580050,8,5,15601,MN32,40.78396,-73.947283,40.78396,-73.947283,10128
59946,37907,Preservation,1,1594,42,1078798,8,WEST 111 STREET,50,0,50,50,10000,5,1015940042,10,9,186,MN11,40.797732,-73.949399,40.797732,-73.949399,10026
59946,943790,Preservation,1,1594,42,1078799,16,WEST 111 STREET,25,0,25,25,10000,5,1015940042,10,9,186,MN11,40.797808,-73.949584,40.797808,-73.949584,10026
59946,37876,Preservation,1,1594,50,1051401,24,WEST 111 STREET,24,0,24,24,10000,5,1015940050,10,9,186,MN11,40.797885,-73.949764,40.797885,-73.949764,10026
59946,37884,Preservation,1,1594,54,1051402,32,WEST 111 STREET,24,0,24,24,10000,5,1015940054,10,9,186,MN11,40.79796,-73.949948,40.79796,-73.949948,10026
59946,37885,Preservation,1,1594,58,1051403,40,WEST 111 STREET,25,0,25,25,10000,5,1015940058,10,9,186,MN11,40.798036,-73.950132,40.798036,-73.950132,10026
59946,37886,Preservation,1,1594,61,1051404,46,WEST 111 STREET,25,0,25,25,10000,5,1015940061,10,9,186,MN11,40.798094,-73.95027,40.798094,-73.95027,10026
